선발투수,WAR,FIP,K%,BB%
강건우,-0.21,6.92,14.9,16.4
고영표,2.21,3.07,24.5,2.9
곽빈,3.14,2.89,27.8,6.7
구창모,1.66,4.09,20.0,6.6
긴지로,-0.44,7.92,22.2,17.3
김건우,-0.58,5.66,16.3,12.1
김민준,0.5,3.91,18.7,12.9
김백산,0.23,5.15,14.6,14.6
김연주,,,,
김윤식,0.13,5.48,14.7,16.4
김윤하,-0.18,5.84,17.5,7.0
김준원,-0.1,6.06,26.0,16.0
김진수,0.53,4.53,14.9,6.9
김진욱,1.86,4.24,19.1,7.1
김태경,0.23,5.13,18.0,13.3
김태형,-0.41,5.99,12.8,9.7
나균안,1.5,4.34,19.6,6.6
네일,2.74,3.31,19.1,5.1
라일리,1.91,3.29,31.7,6.0
로건,0.51,5.07,17.5,7.0
로드리게스,1.71,4.02,26.1,8.3
로젠버그,0.5,3.28,23.4,7.3
류현진,2.83,2.64,20.3,3.2
목지훈,-0.24,9.77,13.6,18.2
문동주,0.08,5.1,16.4,10.0
문용익,0.0,,0.0,50.0
박세웅,1.14,3.91,21.2,8.4
박신지,-0.01,5.08,16.7,11.1
박정훈,0.37,4.64,17.4,13.6
박준영,0.29,6.66,19.3,15.1
박준현,0.7,4.57,21.4,17.9
배동현,0.46,3.7,17.6,6.1
배제성,0.4,4.17,18.7,14.2
백승건,0.0,4.35,14.9,17.0
버하겐,0.39,3.81,22.0,10.1
베니지아노,-0.25,5.37,18.3,8.6
벤자민,2.68,2.64,22.5,6.2
보쉴리,1.93,2.85,20.9,5.6
비슬리,1.94,3.11,25.8,7.4
사우어,1.39,4.54,15.7,9.3
소형준,1.89,2.97,18.5,4.5
송승기,0.44,4.36,16.8,7.0
스기모토,0.09,3.53,20.7,5.5
시라카와,0.01,5.23,17.5,14.4
신민혁,0.09,5.83,11.2,8.6
신영우,0.25,4.98,32.9,26.6
아빌라,0.57,1.67,31.1,6.7
안우진,1.83,2.2,29.1,7.5
알칸타라,2.68,3.75,21.8,2.8
양창섭,1.46,4.07,18.4,6.5
양현종,1.02,4.99,14.8,11.0
에르난데스,0.61,4.65,15.3,8.8
오러클린,1.03,4.13,22.1,10.4
오석주,0.08,4.39,15.3,15.3
오원석,0.62,3.53,22.3,6.6
올러,3.05,3.55,26.1,8.6
와일스,0.14,3.85,15.4,2.6
왕옌청,1.24,4.31,18.4,9.8
원종해,0.07,4.75,11.5,6.4
원태인,1.98,3.03,20.3,5.5
웰스,1.53,3.92,20.5,7.1
이기순,-0.18,6.61,13.8,22.4
이민석,0.23,4.34,16.4,11.3
이상영,,,,
이승현,0.49,3.59,21.8,8.2
이영하,0.98,3.42,28.3,12.0
이의리,-0.86,6.92,22.0,18.6
이정용,-0.3,4.82,9.8,9.3
임찬규,1.7,4.05,12.5,6.5
장찬희,0.4,5.47,16.9,10.3
장현식,0.89,4.16,16.2,7.4
잭로그,1.42,3.69,19.0,4.3
전영준,-0.4,6.2,26.8,14.6
정세영,-0.47,6.86,5.3,7.9
정우주,-0.27,4.89,22.7,15.3
정현우,,,,
최민석,3.23,3.06,22.4,9.3
최민준,0.15,5.12,19.1,10.6
최승용,0.34,4.5,14.6,8.1
최원태,0.84,4.41,20.3,9.3
최준호,-0.01,5.03,24.0,11.5
치리노스,-0.1,4.74,17.1,8.5
쿠싱,0.29,3.49,29.5,6.8
타카다,-0.12,5.97,14.9,13.8
타케다,-0.29,4.41,16.9,10.2
테일러,1.48,3.86,17.5,9.5
토다,0.63,4.25,19.1,7.7
톨허스트,1.65,3.92,18.4,6.4
페덱,0.44,1.42,35.0,5.0
플렉센,-0.11,9.45,11.5,23.1
하영민,1.1,3.99,19.5,9.8
한차현,,,,
함덕주,0.02,5.02,13.8,8.0
해치,-0.08,4.21,17.9,8.4
화이트,2.2,3.45,17.2,5.3
황동하,0.71,5.26,17.0,9.4
황준서,0.12,4.65,20.5,15.4
후라도,2.41,3.91,15.2,4.8
