날짜,팀,상대팀,구장,상태,득점,실점,선발투수,이닝,투구수,피안타,사사구,자책점
2026-03-28,KIA,SSG,원정,종료,6,7,네일,6,84,2,1,0
2026-03-28,KT,LG,원정,종료,11,7,사우어,5,88,5,5,3
2026-03-28,LG,KT,홈,종료,7,11,치리노스,1,36,6,1,6
2026-03-28,NC,두산,홈,종료,6,0,구창모,5,87,2,1,0
2026-03-28,SSG,KIA,홈,종료,7,6,화이트,4,91,9,2,5
2026-03-28,두산,NC,원정,종료,0,6,플렉센,4,93,2,5,2
2026-03-28,롯데,삼성,원정,종료,6,3,로드리게스,5,101,2,5,0
2026-03-28,삼성,롯데,홈,종료,3,6,후라도,6,91,7,0,3
2026-03-28,키움,한화,원정,종료,9,10,알칸타라,5 ⅓,87,8,1,3
2026-03-28,한화,키움,홈,종료,10,9,에르난데스,4 ⅔,94,4,4,4
2026-03-29,KIA,SSG,원정,종료,6,11,이의리,2,52,4,3,4
2026-03-29,KT,LG,원정,종료,6,5,소형준,3,83,7,2,3
2026-03-29,LG,KT,홈,종료,5,6,임찬규,5,80,6,2,3
2026-03-29,NC,두산,홈,종료,6,9,테일러,5,97,4,2,2
2026-03-29,SSG,KIA,홈,종료,11,6,김건우,5,95,5,3,2
2026-03-29,두산,NC,원정,종료,9,6,곽빈,4,75,5,2,4
2026-03-29,롯데,삼성,원정,종료,6,2,비슬리,5,91,2,1,0
2026-03-29,삼성,롯데,홈,종료,2,6,최원태,6,83,7,2,2
2026-03-29,키움,한화,원정,종료,4,10,하영민,2,48,6,1,2
2026-03-29,한화,키움,홈,종료,10,4,왕옌청,5 ⅓,95,4,1,3
2026-03-31,KIA,LG,원정,종료,7,2,올러,6,85,3,1,0
2026-03-31,KT,한화,원정,종료,9,4,보쉴리,5,92,5,2,0
2026-03-31,LG,KIA,홈,종료,2,7,톨허스트,3,78,9,1,7
2026-03-31,NC,롯데,홈,종료,9,2,토다,5,79,3,4,2
2026-03-31,SSG,키움,홈,종료,9,3,베니지아노,5 ⅓,86,6,1,2
2026-03-31,두산,삼성,원정,종료,5,5,잭로그,7,84,4,1,2
2026-03-31,롯데,NC,원정,종료,2,9,박세웅,5,84,5,1,0
2026-03-31,삼성,두산,홈,종료,5,5,오러클린,3 ⅔,86,6,2,4
2026-03-31,키움,SSG,원정,종료,3,9,와일스,6,93,7,0,2
2026-03-31,한화,KT,홈,종료,4,9,화이트,2 ⅓,57,4,1,1
2026-04-01,KIA,LG,원정,종료,2,7,양현종,4,87,3,4,3
